conc_S_nM,0,150,300,450,600,750,900,1050,1200,1350
10,-0.1343307753748018,0.14095167058854075,0.1686094769075399,0.18077666676543347,0.17887049444500458,0.07722462781108282,0.1257960344746099,0.1584535986609238,0.048311985198045956,0.051290096380125993
110,1.2451192482772082,1.3115256310166863,1.3647433913041218,1.103865724114841,1.348049540470801,1.07754474723834,1.1401977130281375,1.1472394833858486,1.1058222166044374,0.9879854326745846
210,1.838601088460831,1.929845661566823,1.7672477940004943,1.918869380105953,1.8805020255668587,1.85628816075556,1.9932894136826418,1.999728617982606,1.8940212653086956,2.0503634962550032
310,2.4389636953305005,2.583355164140485,2.45453253482205,2.370697728477612,2.4609435826018897,2.6449684560495856,2.427624666522221,2.6107528888573133,2.6092719362600625,2.4775620791824515
410,2.908850978736948,2.823385123699722,2.989109749803005,2.868591848918778,2.838835583899195,3.013755190786406,2.9135704935909734,2.794009493211931,2.8430839106352614,2.885827240378584
510,3.289273536399598,3.3610854043184277,3.2833684820605065,3.191155225166615,3.220415509819665,3.094479320734759,3.460992238032293,3.3524398070418675,3.1207751731166145,3.282234629556246
610,3.5699498824669633,3.5805195339252394,3.466395475786682,3.466124600207065,3.5459897890501493,3.474914630171912,3.5659815343866392,3.5912572587313996,3.513115405922993,3.5478766419693555
710,3.834618150994726,3.863747097054719,3.8809534353862287,3.856088729042037,3.7518538045054997,3.6998713622321766,3.891011523006814,3.7464022267145087,3.7328078009319077,3.7091635457930416
810,4.097080237192994,4.127998202159757,3.7412765234540943,4.103867566104124,4.003890377925506,3.987930701410127,4.080261512850494,3.9821817978430554,4.054056910630788,3.7848039335374297
910,4.2692886953594975,4.106796425857074,4.133061624774296,4.087661861021297,4.048503553359241,4.244949168281144,4.303870814647365,4.19001809421996,4.123923060584096,4.017144225541482
1010,4.40523952849074,4.448528036560134,4.383315789382506,4.351243944872607,4.322336330665094,4.307482624655136,4.3126569680340445,4.329775157510173,4.379530508124769,4.52077420334671
1110,4.429598837420828,4.529505867657704,4.476531758246724,4.708118023307533,4.430058883737705,4.462020847297584,4.498523959845113,4.468478192786851,4.481864690027838,4.547696356721109
1210,4.6142155261756,4.52090039106249,4.622113827051395,4.434676809106057,4.703978085331651,4.46066659320283,4.6743295207438775,4.744026131923741,4.584885719982955,4.492527119324252
1310,4.727500883516265,4.740734867206817,4.7747052057150015,4.623820275912142,4.834061421698464,4.646743997939418,4.738072369948823,4.6994053043763335,4.684767892323079,4.808802044042919
1410,4.798412666936894,4.762196144243073,4.86890037785493,4.786729917886578,4.762709321128876,4.851937965881959,4.808892380836889,4.919719076321963,4.755556630964068,4.848633689257008
