time_s,125 nM,100 nM,75 nM,50 nM,25 nM
0,0.0,0.0,0.0,0.0,0.0
25,210.0,175.0,130.0,105.0,50.0
50,420.0,350.0,260.0,210.0,100.0
75,600.0,500.0,365.0,300.0,150.0
100,780.0,650.0,470.0,390.0,200.0
125,865.0,725.0,530.0,445.0,235.0
150,950.0,800.0,590.0,500.0,270.0
175,1000.0,845.0,635.0,535.0,295.0
200,1050.0,890.0,680.0,570.0,320.0
225,1080.0,920.0,710.0,590.0,337.5
250,1110.0,950.0,740.0,610.0,355.0
275,1140.0,980.0,770.0,630.0,372.5
300,1170.0,1010.0,800.0,650.0,390.0
325,1187.5,1030.0,825.0,665.0,405.0
350,1205.0,1050.0,850.0,680.0,420.0
375,1222.5,1070.0,875.0,695.0,435.0
400,1240.0,1090.0,900.0,710.0,450.0
425,1247.5,1097.5,915.0,716.25,455.0
450,1255.0,1105.0,930.0,722.5,460.0
475,1262.5,1112.5,945.0,728.75,465.0
500,1270.0,1120.0,960.0,735.0,470.0
525,1273.75,1123.75,967.5,737.5,473.75
550,1277.5,1127.5,975.0,740.0,477.5
575,1281.25,1131.25,982.5,742.5,481.25
600,1285.0,1135.0,990.0,745.0,485.0
625,1218.75,1076.25,937.5,703.75,462.5
650,1152.5,1017.5,885.0,662.5,440.0
675,1086.25,958.75,832.5,621.25,417.5
700,1020.0,900.0,780.0,580.0,395.0
725,967.5,855.0,740.0,552.5,377.5
750,915.0,810.0,700.0,525.0,360.0
775,862.5,765.0,660.0,497.5,342.5
800,810.0,720.0,620.0,470.0,325.0
825,770.0,685.0,590.0,447.5,310.0
850,730.0,650.0,560.0,425.0,295.0
875,690.0,615.0,530.0,402.5,280.0
900,650.0,580.0,500.0,380.0,265.0
925,620.0,555.0,475.0,361.25,253.75
950,590.0,530.0,450.0,342.5,242.5
975,560.0,505.0,425.0,323.75,231.25
1000,530.0,480.0,400.0,305.0,220.0
1025,507.5,457.5,380.0,291.25,210.0
1050,485.0,435.0,360.0,277.5,200.0
1075,462.5,412.5,340.0,263.75,190.0
1100,440.0,390.0,320.0,250.0,180.0
1125,420.0,372.5,305.0,240.0,172.5
1150,400.0,355.0,290.0,230.0,165.0
1175,380.0,337.5,275.0,220.0,157.5
1200,360.0,320.0,260.0,210.0,150.0
